1;arms_factory;3156.00;10.00;1916.00;0.41;0
1;arms_factory;3178.00;10.20;1881.00;4.63;0
1;arms_factory;3162.00;10.20;1907.00;5.14;0
1;industrial_complex;3166.00;10.35;1884.00;2.98;0
1;supply_node;3158.00;10.10;1912.00;2.12;0
1;supply_node;3185.00;10.10;1881.00;4.71;0
1;supply_node;3188.00;10.10;1908.00;2.76;0
1;supply_node;3156.00;10.05;1895.00;5.24;0
1;supply_node;3174.00;10.38;1902.00;1.13;0
1;supply_node;3195.00;9.88;1922.00;5.89;0
1;supply_node;3172.00;9.95;1919.00;2.54;0
1;supply_node;3168.00;10.45;1882.00;6.19;0
1;bunker;3168.00;10.28;1878.00;0.55;0
1;bunker;3168.00;10.05;1915.00;3.83;0
1;bunker;3166.00;10.12;1905.00;0.71;0
1;bunker;3195.00;9.88;1922.00;4.84;0
1;bunker;3157.00;10.10;1908.00;1.83;0
1;bunker;3187.00;10.03;1912.00;3.90;0
1;bunker;3187.00;9.98;1879.00;1.39;0
1;bunker;3163.00;10.12;1898.00;4.40;0
1;stronghold_network;3195.00;10.40;1905.00;3.96;0
1;special_project_facility_spawn;3175.00;10.28;1906.00;3.87;0
1;special_project_facility_spawn;3187.00;9.88;1874.00;5.59;0
1;special_project_facility_spawn;3198.00;10.15;1915.00;3.42;0
1;special_project_facility_spawn;3163.00;9.90;1918.00;4.54;0
1;special_project_facility_spawn;3160.00;10.15;1899.00;3.59;0
1;special_project_facility_spawn;3165.00;10.20;1873.00;1.43;0
1;special_project_facility_spawn;3198.00;9.98;1920.00;1.53;0
1;special_project_facility_spawn;3176.00;10.00;1919.00;4.10;0
2;arms_factory;1280.00;11.35;1477.00;2.47;0
2;arms_factory;1229.00;11.07;1420.00;5.14;0
2;arms_factory;1243.00;10.57;1445.00;4.54;0
2;industrial_complex;1324.00;10.50;1488.00;0.92;0
2;industrial_complex;1303.00;10.75;1471.00;2.48;0
2;industrial_complex;1287.00;11.18;1452.00;5.14;0
2;industrial_complex;1193.00;10.62;1454.00;2.98;0
2;industrial_complex;1217.00;10.00;1505.00;4.19;0
2;industrial_complex;1247.00;10.40;1496.00;0.92;0
2;air_base;1255.00;10.90;1482.00;3.59;0
2;supply_node;1308.00;10.45;1508.00;1.36;0
2;supply_node;1202.00;11.10;1432.00;0.59;0
2;supply_node;1268.00;10.15;1514.00;5.01;0
2;supply_node;1317.00;10.45;1489.00;2.76;0
2;supply_node;1263.00;10.85;1436.00;5.70;0
2;supply_node;1289.00;11.32;1448.00;0.90;0
2;supply_node;1285.00;10.78;1504.00;4.94;0
2;supply_node;1288.00;11.20;1482.00;0.13;0
2;supply_node;1248.00;10.70;1467.00;3.07;0
2;supply_node;1222.00;10.05;1505.00;0.83;0
2;supply_node;1222.00;10.10;1475.00;2.31;0
2;supply_node;1262.00;10.50;1490.00;5.24;0
2;supply_node;1243.00;10.10;1515.00;3.71;0
2;supply_node;1221.00;11.20;1425.00;0.37;0
2;supply_node;1210.00;10.53;1453.00;1.85;0
2;supply_node;1243.00;10.57;1449.00;5.89;0
2;supply_node;1242.00;10.43;1492.00;1.78;0
2;supply_node;1307.00;10.73;1469.00;3.25;0
2;supply_node;1272.00;10.57;1466.00;6.19;0
2;supply_node;1240.00;11.03;1429.00;2.49;0
2;bunker;1326.00;10.40;1498.00;5.28;0
2;bunker;1233.00;10.32;1499.00;3.22;0
2;bunker;1249.00;10.18;1513.00;5.88;0
2;bunker;1252.00;10.80;1438.00;3.73;0
2;bunker;1215.00;10.68;1435.00;3.83;0
2;bunker;1217.00;11.45;1419.00;1.67;0
2;bunker;1231.00;10.53;1449.00;4.33;0
2;bunker;1274.00;10.68;1492.00;0.71;0
2;bunker;1261.00;10.60;1460.00;3.73;0
2;bunker;1305.00;10.80;1467.00;0.11;0
2;bunker;1232.00;10.60;1430.00;2.78;0
2;bunker;1275.00;10.75;1486.00;5.44;0
2;bunker;1228.00;10.35;1481.00;2.17;0
2;bunker;1253.00;10.60;1497.00;1.23;0
2;bunker;1263.00;10.53;1456.00;1.83;0
2;bunker;1314.00;10.40;1504.00;5.95;0
2;bunker;1288.00;10.40;1510.00;2.68;0
2;bunker;1284.00;10.95;1457.00;1.73;0
2;bunker;1258.00;9.90;1520.00;4.40;0
2;bunker;1221.00;10.60;1454.00;0.18;0
2;stronghold_network;1231.00;11.15;1419.00;4.91;0
2;anti_air_building;1249.00;10.62;1444.00;3.96;0
2;anti_air_building;1303.00;10.80;1488.00;0.34;0
2;synthetic_refinery;1304.00;11.50;1451.00;4.57;0
2;fuel_silo;1229.00;10.50;1438.00;2.41;0
2;radar_station;1236.00;10.55;1468.00;0.06;0
